countries,total_collected_msw_(t),food,garden,paper,plastic,glass,metal,rubber_and_leather,textile,other,scenario,co₂_emissions_reduction_potential
"Egypt, Arab Rep.",12416532.71475998,56.0,0.0,10.0,13.0,4.0,2.0,0.0,0.0,15.0,Retrofit landfill,-0.2897363026900175
"Egypt, Arab Rep.",12416532.71475998,56.0,0.0,10.0,13.0,4.0,2.0,0.0,0.0,15.0,Half waste,-0.5
"Egypt, Arab Rep.",12416532.71475998,56.0,0.0,10.0,13.0,4.0,2.0,0.0,0.0,15.0,Compost + retrofit,-0.4940445304718452
"Egypt, Arab Rep.",12416532.71475998,56.0,0.0,10.0,13.0,4.0,2.0,0.0,0.0,15.0,Digest + retrofit,-0.4940445304718452
"Egypt, Arab Rep.",12416532.71475998,56.0,0.0,10.0,13.0,4.0,2.0,0.0,0.0,15.0,All strategies (C) ,-0.7470222652359226
"Egypt, Arab Rep.",12416532.71475998,56.0,0.0,10.0,13.0,4.0,2.0,0.0,0.0,15.0,All strategies (D),-0.7470222652359226
Ethiopia,2414125.2815828808,53.9,11.5,7.7,0.0,0.0,0.0,0.0,4.0,22.9,Compost organics,-0.2041950874928592
Ethiopia,2414125.2815828808,53.9,11.5,7.7,0.0,0.0,0.0,0.0,4.0,22.9,Digest organics,-0.2041950874928592
Ethiopia,2414125.2815828808,53.9,11.5,7.7,0.0,0.0,0.0,0.0,4.0,22.9,Retrofit landfill,-0.3122249044233321
Ethiopia,2414125.2815828808,53.9,11.5,7.7,0.0,0.0,0.0,0.0,4.0,22.9,Half waste,-0.5
Ethiopia,2414125.2815828808,53.9,11.5,7.7,0.0,0.0,0.0,0.0,4.0,22.9,Compost + retrofit,-0.3122249044233321
Ethiopia,2414125.2815828808,53.9,11.5,7.7,0.0,0.0,0.0,0.0,4.0,22.9,Digest + retrofit,-0.3122249044233321
Ethiopia,2414125.2815828808,53.9,11.5,7.7,0.0,0.0,0.0,0.0,4.0,22.9,All strategies (C),-0.656112452211666
Ethiopia,2414125.2815828808,53.9,11.5,7.7,0.0,0.0,0.0,0.0,4.0,22.9,All strategies (D),-0.656112452211666
France,35832239.62222222,32.0,0.0,20.0,9.0,10.0,3.0,0.0,0.0,26.0,Compost organics,-0.14994793484349
